1-gram, 0.46180334, 0.67932162, 0.76713694, 0.84390416, 0.88206003, 0.91460696, 0.92123649
1-gram, 0.52109954, 0.6905041,  0.797957,   0.86888018, 0.89399506, 0.90998654, 0.92076034
1-gram, 0.53804918, 0.66980694, 0.75733985, 0.85580003, 0.89396827, 0.90930487, 0.92087238 
2-gram, 0.35937907, 0.51011058, 0.70301354, 0.74398864, 0.82524465, 0.84358598, 0.85901656
2-gram, 0.41198698, 0.5834039,  0.66879773, 0.76723887, 0.82825549, 0.84566269, 0.85955107
2-gram, 0.38085471, 0.55141838, 0.70127537, 0.77607774, 0.83431656, 0.8356787,  0.85301601
3-gram, 0.28940011, 0.46315266, 0.61256899, 0.72277782, 0.76055361, 0.78447451, 0.80622018
3-gram, 0.31072975, 0.46083093, 0.62168914, 0.70160112, 0.76542478, 0.79976359, 0.81137357
3-gram, 0.29927325, 0.49917745, 0.61485935, 0.70077938, 0.75877543, 0.78150977, 0.79533165
4-gram, 0.2416607,  0.42570485, 0.55201176, 0.65951495, 0.70640464, 0.7415685,  0.75819679
4-gram, 0.25636902, 0.41506912, 0.54548053, 0.66368699, 0.71682693, 0.74178784, 0.74364639
4-gram, 0.25971346, 0.4361703,  0.54694599, 0.66765643, 0.71795869, 0.73196861, 0.74579636
1-gram no noise, 0.92951685, 0.92951685, 0.92951685, 0.92951685, 0.92951685, 0.92951685, 0.92951685
2-gram no noise, 0.87242068, 0.87242068, 0.87242068, 0.87242068, 0.87242068, 0.87242068, 0.87242068

wikitext 1 gram, 0.25448226, 0.31041745, 0.33952283, 0.33418769, 0.33706559, 0.324266, 0.31757416
